"","Cell_type","predicted_RF","predicted_KNN","predicted_XGB","all_predictions_same"
"GSM5491858_16.296","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",TRUE
"GSM5491859_16.302","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491860_16.304","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491861_16.306","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491862_16.312","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491863_16.315","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491864_16.319","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491865_16.322","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491866_16.326","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491867_16.328","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491868_16.335","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491869_16.338","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491870_16.339","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491871_16.340","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",TRUE
"GSM5491872_16.341","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491873_16.342","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491874_16.343","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491875_16.346","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491876_16.347","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491877_16.348","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491878_16.350","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491879_16.352","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491880_16.354","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491881_16.359","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491882_16.362","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",TRUE
"GSM5491883_16.363","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491884_16.364","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491885_16.367","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",TRUE
"GSM5491886_16.372","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491887_16.373","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",TRUE
"GSM5491888_16.374","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491889_16.376","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"GSM5491890_16.378","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_380","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_464","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_363","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_365","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_444","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_368","Unkown","9836/3 - Pre-B ALL","T Cell","9837/3 - Pre-T ALL",FALSE
"ALL_358","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_172","Unkown","9837/3 - Pre-T ALL","T Cell","9837/3 - Pre-T ALL",FALSE
"ALL_171","Unkown","T Cell","9837/3 - Pre-T ALL","T Cell",FALSE
"ALL_243","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_291","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_310","Unkown","T Cell","9837/3 - Pre-T ALL","T Cell",FALSE
"ALL_546","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_563","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_553","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_555","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_559","Unkown","T Cell","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",FALSE
"ALL_458","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_391","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_459","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_402","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_5","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_8","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_502","Unkown","T Cell","9837/3 - Pre-T ALL","T Cell",FALSE
"ALL_486","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_537","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_495","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_542","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_205","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_210","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_257","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_244","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_467","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_472","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_466","Unkown","T Cell","9837/3 - Pre-T ALL","T Cell",FALSE
"ALL_484","Unkown","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","T Cell",FALSE
"ALL_470","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_475","Unkown","9836/3 - Pre-B ALL","T Cell","T Cell",FALSE
"ALL_290","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_295","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_299","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_268","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_302","Unkown","9836/3 - Pre-B ALL","T Cell","9836/3 - Pre-B ALL",FALSE
"ALL_704","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_707","Unkown","9836/3 - Pre-B ALL","T Cell","9836/3 - Pre-B ALL",FALSE
"ALL_319","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_686","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_695","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_633","Unkown","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","T Cell",FALSE
"ALL_702","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_166","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_176","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_612","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_619","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_624","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_626","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_622","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_627","Unkown","T Cell","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",FALSE
"ALL_629","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_631","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_656","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_634","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_740","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_669","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_4","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_644","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_49","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_678","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_679","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_422","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_372","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_300","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_367","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_314","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_376","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_442","Unkown","9836/3 - Pre-B ALL","T Cell","9836/3 - Pre-B ALL",FALSE
"ALL_682","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_683","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_750","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_713","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_735","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_680","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_681","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_738","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_734","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_689","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_688","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_693","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_745","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_747","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_539","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_621","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_618","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_620","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_536","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_392","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_431","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_390","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_528","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_504","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_460","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_646","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_665","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_613","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_489","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_468","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_493","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_532","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_395","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_557","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","Control",FALSE
"ALL_373","Unkown","9836/3 - Pre-B ALL","T Cell","9836/3 - Pre-B ALL",FALSE
"ALL_381","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_435","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_609","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_606","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_602","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_313","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_321","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_317","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_221","Unkown","9836/3 - Pre-B ALL","T Cell","T Cell",FALSE
"ALL_206","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_202","Unkown","9836/3 - Pre-B ALL","T Cell","9836/3 - Pre-B ALL",FALSE
"ALL_106","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_462","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_544","Unkown","9836/3 - Pre-B ALL","T Cell","Control",FALSE
"ALL_254","Unkown","T Cell","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",FALSE
"ALL_262","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9837/3 - Pre-T ALL",FALSE
"ALL_312","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","Control",FALSE
"ALL_167","Unkown","9837/3 - Pre-T ALL","T Cell","9837/3 - Pre-T ALL",FALSE
"ALL_174","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_465","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_485","Unkown","9836/3 - Pre-B ALL","T Cell","T Cell",FALSE
"ALL_474","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_11","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_28","Unkown","9837/3 - Pre-T ALL","T Cell","9837/3 - Pre-T ALL",FALSE
"ALL_63","Unkown","T Cell","9837/3 - Pre-T ALL","T Cell",FALSE
"ALL_29","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_324","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_378","Unkown","T Cell","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",FALSE
"ALL_412","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_410","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_420","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_403","Unkown","9836/3 - Pre-B ALL","T Cell","9836/3 - Pre-B ALL",FALSE
"ALL_160","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_113","Unkown","T Cell","9837/3 - Pre-T ALL","T Cell",FALSE
"ALL_164","Unkown","T Cell","T Cell","9837/3 - Pre-T ALL",FALSE
"ALL_57","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_52","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_61","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_62","Unkown","T Cell","T Cell","9837/3 - Pre-T ALL",FALSE
"ALL_141","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_125","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_388","Unkown","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","T Cell",FALSE
"ALL_386","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_389","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_529","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_157","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_200","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_58","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_246","Unkown","9836/3 - Pre-B ALL","T Cell","T Cell",FALSE
"ALL_284","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_351","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_236","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_247","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_215","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_248","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_595","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_598","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_584","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_567","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_456","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_371","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_488","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_477","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_482","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_514","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_513","Unkown","9836/3 - Pre-B ALL","T Cell","9836/3 - Pre-B ALL",FALSE
"ALL_219","Unkown","9837/3 - Pre-T ALL","T Cell","9837/3 - Pre-T ALL",FALSE
"ALL_218","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_217","Unkown","T Cell","9837/3 - Pre-T ALL","T Cell",FALSE
"ALL_232","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_494","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_492","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_503","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_293","Unkown","9836/3 - Pre-B ALL","T Cell","9836/3 - Pre-B ALL",FALSE
"ALL_7","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_16","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_357","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_382","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_47","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_499","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_169","Unkown","T Cell","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",FALSE
"ALL_543","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_568","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_180","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_564","Unkown","9836/3 - Pre-B ALL","T Cell","9836/3 - Pre-B ALL",FALSE
"ALL_589","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_560","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9837/3 - Pre-T ALL",FALSE
"ALL_194","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_569","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_175","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_168","Unkown","T Cell","T Cell","9837/3 - Pre-T ALL",FALSE
"ALL_234","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_130","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_24","Unkown","T Cell","9836/3 - Pre-B ALL","9837/3 - Pre-T ALL",FALSE
"ALL_17","Unkown","9836/3 - Pre-B ALL","T Cell","T Cell",FALSE
"ALL_541","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_593","Unkown","T Cell","T Cell","9837/3 - Pre-T ALL",FALSE
"ALL_586","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_718","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_717","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_709","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_710","Unkown","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","T Cell",FALSE
"ALL_562","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_45","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_298","Unkown","9836/3 - Pre-B ALL","T Cell","9836/3 - Pre-B ALL",FALSE
"ALL_9","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_76","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_71","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_501","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_604","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_170","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_884","Unkown","9836/3 - Pre-B ALL","T Cell","T Cell",FALSE
"ALL_888","Unkown","9836/3 - Pre-B ALL","T Cell","T Cell",FALSE
"ALL_903","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_753","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_901","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_907","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_950","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_952","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_930","Unkown","9837/3 - Pre-T ALL","T Cell","9837/3 - Pre-T ALL",FALSE
"ALL_931","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_926","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_953","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_913","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_920","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_941","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_942","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_944","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_962","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
