"","Cell_type...128","predicted_RF","predicted_KNN","predicted_XGB","predicted_NB","all_predictions_same"
"ALL_465","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_485","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_474","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_11","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_28","Unkown","T cell","T cell","9837/3 - Pre-T ALL","T cell",FALSE
"ALL_63","Unkown","T cell","9837/3 - Pre-T ALL","T cell","T cell",FALSE
"ALL_29","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_324","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell",FALSE
"ALL_378","Unkown","T cell","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",FALSE
"ALL_412","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_410","Unkown","9836/3 - Pre-B ALL","T cell","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_420","Unkown","T cell","T cell","T cell","T cell",TRUE
"ALL_403","Unkown","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",FALSE
"ALL_160","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_113","Unkown","T cell","9837/3 - Pre-T ALL","T cell","T cell",FALSE
"ALL_164","Unkown","T cell","T cell","9837/3 - Pre-T ALL","T cell",FALSE
"ALL_57","Unkown","T cell","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_52","Unkown","T cell","T cell","T cell","T cell",TRUE
"ALL_61","Unkown","T cell","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_62","Unkown","T cell","T cell","9837/3 - Pre-T ALL","T cell",FALSE
"ALL_141","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_125","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_388","Unkown","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","T cell","9837/3 - Pre-T ALL",FALSE
"ALL_386","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_389","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_529","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_157","Unkown","T cell","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_200","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_58","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_246","Unkown","9836/3 - Pre-B ALL","T cell","T cell","T cell",FALSE
"ALL_284","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_351","Unkown","T cell","T cell","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_236","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_247","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_215","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_248","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_595","Unkown","9836/3 - Pre-B ALL","T cell","T cell","T cell",FALSE
"ALL_598","Unkown","T cell","T cell","T cell","T cell",TRUE
"ALL_584","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_567","Unkown","T cell","T cell","T cell","T cell",TRUE
"ALL_456","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_371","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_488","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_477","Unkown","T cell","T cell","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_482","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_514","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_513","Unkown","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL","T cell",FALSE
"ALL_219","Unkown","9836/3 - Pre-B ALL","T cell","9837/3 - Pre-T ALL","9836/3 - Pre-B ALL",FALSE
"ALL_218","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_217","Unkown","T cell","9837/3 - Pre-T ALL","T cell","9837/3 - Pre-T ALL",FALSE
"ALL_232","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_494","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_492","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_503","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_293","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_7","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_16","Unkown","9836/3 - Pre-B ALL","T cell","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_357","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_382","Unkown","T cell","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_47","Unkown","T cell","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_499","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_169","Unkown","T cell","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL",FALSE
"ALL_543","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_568","Unkown","9836/3 - Pre-B ALL","T cell","T cell","T cell",FALSE
"ALL_180","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_564","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_589","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_560","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9837/3 - Pre-T ALL","T cell",FALSE
"ALL_194","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_569","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_175","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_168","Unkown","T cell","T cell","9837/3 - Pre-T ALL","T cell",FALSE
"ALL_234","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_130","Unkown","9836/3 - Pre-B ALL","T cell","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_24","Unkown","T cell","9836/3 - Pre-B ALL","9837/3 - Pre-T ALL","T cell",FALSE
"ALL_17","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_541","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_593","Unkown","T cell","T cell","9837/3 - Pre-T ALL","T cell",FALSE
"ALL_586","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_718","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_717","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_709","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_710","Unkown","9837/3 - Pre-T ALL","9837/3 - Pre-T ALL","T cell","9837/3 - Pre-T ALL",FALSE
"ALL_562","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_45","Unkown","T cell","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_298","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_9","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_76","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_71","Unkown","T cell","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_501","Unkown","T cell","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_604","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_170","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_884","Unkown","9836/3 - Pre-B ALL","T cell","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_888","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_903","Unkown","T cell","T cell","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_753","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_901","Unkown","T cell","T cell","T cell","T cell",TRUE
"ALL_907","Unkown","T cell","T cell","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_950","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_952","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_930","Unkown","9836/3 - Pre-B ALL","T cell","9837/3 - Pre-T ALL","T cell",FALSE
"ALL_931","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_926","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_953","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_913","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_920","Unkown","T cell","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_941","Unkown","9836/3 - Pre-B ALL","T cell","T cell","T cell",FALSE
"ALL_942","Unkown","T cell","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_944","Unkown","T cell","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_962","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_964","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_1003","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_1006","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_1000","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_984","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_986","Unkown","9836/3 - Pre-B ALL","T cell","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_988","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_967","Unkown","T cell","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_975","Unkown","T cell","T cell","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_976","Unkown","T cell","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_978","Unkown","T cell","T cell","9837/3 - Pre-T ALL","T cell",FALSE
"ALL_1026","Unkown","9836/3 - Pre-B ALL","T cell","T cell","T cell",FALSE
"ALL_1031","Unkown","9836/3 - Pre-B ALL","T cell","T cell","T cell",FALSE
"ALL_762","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_1034","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_1039","Unkown","T cell","T cell","T cell","T cell",TRUE
"ALL_1019","Unkown","T cell","T cell","T cell","T cell",TRUE
"ALL_761","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_1023","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_1056","Unkown","T cell","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_1057","Unkown","T cell","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_1062","Unkown","T cell","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_1065","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_1081","Unkown","T cell","T cell","9836/3 - Pre-B ALL","T cell",FALSE
"ALL_1001","Unkown","T cell","T cell","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_1005","Unkown","T cell","T cell","T cell","T cell",TRUE
"ALL_905","Unkown","9837/3 - Pre-T ALL","T cell","9837/3 - Pre-T ALL","T cell",FALSE
"ALL_985","Unkown","T cell","T cell","T cell","T cell",TRUE
"ALL_989","Unkown","T cell","T cell","T cell","T cell",TRUE
"ALL_1086","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_1089","Unkown","T cell","T cell","9837/3 - Pre-T ALL","T cell",FALSE
"ALL_882","Unkown","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",FALSE
"ALL_1092","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_1116","Unkown","9836/3 - Pre-B ALL","T cell","T cell","T cell",FALSE
"ALL_1111","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_1118","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_1096","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_1099","Unkown","9836/3 - Pre-B ALL","T cell","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_1100","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_1109","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_869","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_874","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_877","Unkown","9836/3 - Pre-B ALL","T cell","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_851","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_853","Unkown","T cell","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_1060","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_1047","Unkown","T cell","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_1061","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_1072","Unkown","T cell","T cell","T cell","T cell",TRUE
"ALL_1058","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_1190","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_1150","Unkown","T cell","T cell","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_1178","Unkown","9836/3 - Pre-B ALL","T cell","T cell","T cell",FALSE
"ALL_1187","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_1154","Unkown","T cell","T cell","9837/3 - Pre-T ALL","T cell",FALSE
"ALL_1162","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_1163","Unkown","T cell","T cell","9837/3 - Pre-T ALL","T cell",FALSE
"ALL_1127","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_1128","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_1131","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_1135","Unkown","T cell","T cell","T cell","T cell",TRUE
"ALL_1139","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_1136","Unkown","9836/3 - Pre-B ALL","T cell","T cell","T cell",FALSE
"ALL_1159","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_1110","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_1097","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_878","Unkown","9836/3 - Pre-B ALL","T cell","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_784","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_808","Unkown","9836/3 - Pre-B ALL","T cell","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_829","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_S1","Unkown","T cell","9837/3 - Pre-T ALL","T cell","9837/3 - Pre-T ALL",FALSE
"KSALL34","Unkown","T cell","9836/3 - Pre-B ALL","9837/3 - Pre-T ALL","T cell",FALSE
"KSALL50","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_358_r","Unkown","T cell","T cell","T cell","T cell",TRUE
"ALL_210_r","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_257_r","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_464_r","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL",FALSE
"ALL_380_r","Unkown","T cell","9836/3 - Pre-B ALL","T cell","T cell",FALSE
"ALL_680_r","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_1026_r","Unkown","9836/3 - Pre-B ALL","T cell","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",FALSE
"ALL_368_r","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9837/3 - Pre-T ALL","T cell",FALSE
"SIHTALLS26","T cell","T cell","T cell","T cell","T cell",TRUE
"T78","T cell","T cell","T cell","T cell","T cell",TRUE
"SIHTALLS3","T cell","T cell","T cell","T cell","T cell",TRUE
"SIHTALLS12","T cell","T cell","T cell","T cell","T cell",TRUE
"H301TALLS12","T cell","T cell","T cell","T cell","T cell",TRUE
"SIHTALLS14","T cell","T cell","T cell","T cell","T cell",TRUE
"CMUTALLS10","T cell","T cell","T cell","T cell","T cell",TRUE
"SIHTALLS28","T cell","T cell","T cell","T cell","T cell",TRUE
"H301TALLS10","T cell","T cell","T cell","T cell","T cell",TRUE
"SIHTALLS6","T cell","T cell","T cell","T cell","T cell",TRUE
"SIHTALLS19","T cell","T cell","T cell","T cell","T cell",TRUE
"SIHTALLS5","T cell","T cell","T cell","T cell","T cell",TRUE
"SIHTALLS24","T cell","T cell","T cell","T cell","T cell",TRUE
"SIHTALLS9","T cell","T cell","T cell","T cell","T cell",TRUE
"SIHTALLS16","T cell","T cell","T cell","T cell","T cell",TRUE
"T70","T cell","T cell","T cell","T cell","T cell",TRUE
"SIHTALLS35","T cell","T cell","T cell","T cell","T cell",TRUE
"T92","T cell","T cell","T cell","T cell","T cell",TRUE
"T115","T cell","T cell","T cell","T cell","T cell",TRUE
"DMUTALLS1","T cell","T cell","T cell","T cell","T cell",TRUE
"SIHTALLS1","T cell","T cell","T cell","T cell","T cell",TRUE
"CMUTALLS14","T cell","T cell","T cell","T cell","T cell",TRUE
"SIHTALLS36","T cell","T cell","T cell","T cell","T cell",TRUE
"T84","T cell","T cell","T cell","T cell","T cell",TRUE
"H301TALLS6","T cell","T cell","T cell","T cell","T cell",TRUE
"T105","T cell","T cell","T cell","T cell","T cell",TRUE
"T103","T cell","T cell","T cell","T cell","T cell",TRUE
"CMUTALLS3","T cell","T cell","T cell","T cell","T cell",TRUE
"T39","T cell","T cell","T cell","T cell","T cell",TRUE
"SIHTALLS31","T cell","T cell","T cell","T cell","T cell",TRUE
"T83","T cell","T cell","T cell","T cell","T cell",TRUE
"SIHTALLS29","T cell","T cell","T cell","T cell","T cell",TRUE
"T112","T cell","T cell","T cell","T cell","T cell",TRUE
"T74","T cell","T cell","T cell","T cell","T cell",TRUE
"SIHTALLS17","T cell","T cell","T cell","T cell","T cell",TRUE
"SIHTALLS25","T cell","T cell","T cell","T cell","T cell",TRUE
"SIHTALLS2","T cell","T cell","T cell","T cell","T cell",TRUE
"T59","T cell","T cell","T cell","T cell","T cell",TRUE
"H301TALLS11","T cell","T cell","T cell","T cell","T cell",TRUE
"SIHTALLS10","T cell","T cell","T cell","T cell","T cell",TRUE
"T89","T cell","T cell","T cell","T cell","T cell",TRUE
"SIHTALLS8","T cell","T cell","T cell","T cell","T cell",TRUE
"T60","T cell","T cell","T cell","T cell","T cell",TRUE
"SIHTALLS7","T cell","T cell","T cell","T cell","T cell",TRUE
"CMUTALLS12","T cell","T cell","T cell","T cell","T cell",TRUE
"T62","T cell","T cell","T cell","T cell","T cell",TRUE
"T85","T cell","T cell","T cell","T cell","T cell",TRUE
"T106","T cell","T cell","T cell","T cell","T cell",TRUE
"SIHTALLS20","T cell","T cell","T cell","T cell","T cell",TRUE
"T114","T cell","T cell","T cell","T cell","T cell",TRUE
"CMUTALLS6","T cell","T cell","T cell","T cell","T cell",TRUE
"T119","T cell","T cell","T cell","T cell","T cell",TRUE
"T67","T cell","T cell","T cell","T cell","T cell",TRUE
"SIHTALLS11","T cell","T cell","T cell","T cell","T cell",TRUE
"SIHTALLS15","T cell","T cell","T cell","T cell","T cell",TRUE
"SIHTALLS27","T cell","T cell","T cell","T cell","T cell",TRUE
"H301TALLS4","T cell","T cell","T cell","T cell","T cell",TRUE
"T97","T cell","T cell","T cell","T cell","T cell",TRUE
"SIHTALLS22","T cell","T cell","T cell","T cell","T cell",TRUE
"H301TALLS1","T cell","T cell","T cell","T cell","T cell",TRUE
"CMUTALLS2","T cell","T cell","T cell","T cell","T cell",TRUE
"CMUTALLS7","T cell","T cell","T cell","T cell","T cell",TRUE
"H301TALLS7","T cell","T cell","T cell","T cell","T cell",TRUE
"SIHTALLS23","T cell","T cell","T cell","T cell","T cell",TRUE
"SIHTALLS33","T cell","T cell","T cell","T cell","T cell",TRUE
"T104","T cell","T cell","T cell","T cell","T cell",TRUE
"T93","T cell","T cell","T cell","T cell","T cell",TRUE
"H301TALLS5","T cell","T cell","T cell","T cell","T cell",TRUE
"CMUTALLS1","T cell","T cell","T cell","T cell","T cell",TRUE
"SIHTALLS18","T cell","T cell","T cell","T cell","T cell",TRUE
"H301TALLS8","T cell","T cell","T cell","T cell","T cell",TRUE
"SIHTALLS32","T cell","T cell","T cell","T cell","T cell",TRUE
"H301TALLS2","T cell","T cell","T cell","T cell","T cell",TRUE
"H301TALLS14","T cell","T cell","T cell","T cell","T cell",TRUE
"T79","T cell","T cell","T cell","T cell","T cell",TRUE
"CMUTALLS9","T cell","T cell","T cell","T cell","T cell",TRUE
"CMUTALLS15","T cell","T cell","T cell","T cell","T cell",TRUE
"T95","T cell","T cell","T cell","T cell","T cell",TRUE
"T80","T cell","T cell","T cell","T cell","T cell",TRUE
"T82","T cell","T cell","T cell","T cell","T cell",TRUE
"SIHTALLS4","T cell","T cell","T cell","T cell","T cell",TRUE
"CMUTALLS8","T cell","T cell","T cell","T cell","T cell",TRUE
"T77","T cell","T cell","T cell","T cell","T cell",TRUE
"T90","T cell","T cell","T cell","T cell","T cell",TRUE
"H301TALLS13","T cell","T cell","T cell","T cell","T cell",TRUE
"SIHTALLS13","T cell","T cell","T cell","T cell","T cell",TRUE
"T91","T cell","T cell","T cell","T cell","T cell",TRUE
"CMUTALLS13","T cell","T cell","T cell","T cell","T cell",TRUE
